z_mm,dLETPrimaries,dLETProtons,dLETAll,tLETPrimaries,tLETProtons,tLETAll
0.0425,11.227476778545947,11.633363317421058,35.38578558025573,11.088738844453431,11.119698781302196,11.18484301458169
0.1275,11.232337955056385,11.724955868049127,35.66714243947419,11.088839796021869,11.12865310649124,11.201057861927385
0.21250000000000002,11.23424890798621,11.787787833132391,36.67975020342176,11.088900644146356,11.135544273153911,11.213373052343686
0.29750000000000004,11.270811018588764,11.869648756049246,36.399743966398205,11.128964617137724,11.181241351272009,11.259141244763777
0.38250000000000006,11.277012374043482,11.922944617755972,37.02846028769294,11.132753573973279,11.190702831719648,11.270033627097007
0.4675,11.277408795517566,11.958093980183925,37.64364256510756,11.132825108523683,11.195466024836506,11.276371370334616
0.5525000000000001,11.31474138503115,12.04348505726418,37.51940877393533,11.170557714523994,11.238028906937508,11.31951340316119
0.6375,11.317069872927426,12.081060415308498,36.478190754981995,11.176799301063545,11.248987958374899,11.329869527148707
0.7225000000000001,11.315568212905086,12.113218061238772,36.62824267205435,11.176929939824264,11.253255034005289,11.334151636475644
0.8075000000000001,11.358543479290503,12.177260715073327,37.049560261662826,11.213445620948592,11.29291029159519,11.373165681710868
0.8925000000000001,11.364107051262302,12.2216873702769,37.105929835824696,11.221147569945533,11.305224422142773,11.385502615031715
0.9775,11.363035160807526,12.257351723389275,36.25831354200493,11.221514293345821,11.309670053202817,11.390401517842887
1.0625,11.399957862767918,12.317965752059921,37.69955815545032,11.257513811443504,11.349210341798532,11.432453964390774
1.1475000000000002,11.408265981066908,12.354557402324374,35.94166027327682,11.26562374409068,11.360777984374915,11.439227504592525
1.2325000000000002,11.413170127073704,12.385133618574995,37.76282072827604,11.266574184106448,11.364849239070947,11.447524342041827
1.3175000000000001,11.447592891123223,12.454714515288098,37.24070020547555,11.302773666544837,11.405110421434706,11.487355681286296
1.4025,11.453515204813739,12.476089382367533,37.20649710778774,11.310294758269993,11.415403407526474,11.49824640653024
1.4875000000000003,11.455468442564664,12.510445883517411,36.73601830081551,11.312141532470958,11.420451259052568,11.501351997358082
1.5725000000000002,11.493230821872338,12.57139646610806,36.40773622963254,11.348892376348832,11.459943014470412,11.540838100577076
1.6575000000000002,11.497901010941764,12.599796762328289,37.34062518544742,11.35513496993521,11.468892267241525,11.55131990483942
1.7425000000000002,11.504350392150016,12.60853514158375,37.1610520439694,11.358753636762875,11.474811008510281,11.556269888148869
1.8275000000000001,11.540785301906196,12.670137366888177,36.366887251900515,11.39566891315318,11.514202061599612,11.595782806223434
1.9125,11.540072696979282,12.692679906913124,36.98667008537165,11.400136686867395,11.52176056513155,11.603115313126676
1.9975,11.548494574236999,12.711979415136293,38.129624464629885,11.406576831448046,11.53084962610393,11.616039460750727
2.0825,11.58725453477878,12.784562387922442,37.958479982489,11.442730168800454,11.569818836052528,11.655101435739544
2.1675000000000004,11.58712704747409,12.79411680274097,37.32755653064704,11.445482670608632,11.574161046048939,11.657757849938736
2.2525000000000004,11.604691883018836,12.82732162238868,36.66100373058196,11.4562663958377,11.587286318622109,11.669682394363852
2.3375000000000004,11.632142839973953,12.854570174506355,37.95181562801304,11.489690115822127,11.622386604297699,11.704967148762123
2.4225000000000003,11.634136927207237,12.887206375896286,37.614858494538005,11.491225349546449,11.626746822613944,11.710671564246315
2.5075000000000003,11.652016660169574,12.928110368181972,37.878813325724195,11.507652773431715,11.645944667063079,11.730163578945417
2.5925,11.683607393594691,12.939726305009007,37.04702493690341,11.536356217552159,11.675449525710404,11.75848087028011
2.6774999999999998,11.682133493548834,12.977829542455213,37.3030549236634,11.53771328900518,11.679623716465295,11.763148055608855
2.7625,11.710464025754263,13.011184706744789,38.264131946416136,11.560727485670114,11.7046040883502,11.789721696652672
2.8475,11.730462813062157,13.048980534947498,37.40085290921142,11.582507826777139,11.728613841125455,11.813096455982992
2.9325,11.730745316412303,13.07911818125316,36.89928056513461,11.585551910695546,11.734277284372332,11.817207198817778
3.0175,11.760258499085424,13.109614481876848,37.40125532575079,11.614077111493318,11.764243765128484,11.847173414467154
3.1025,11.77419304625053,13.126051249476166,36.92734147648146,11.628660076583218,11.779694182246399,11.861693394800085
3.1875,11.780007084471276,13.145429595857674,36.95897297490429,11.635527620912287,11.78878430973295,11.871186800240551
3.2725,11.81050941963586,13.17948511145332,37.40130377140171,11.666797036958856,11.82148936449468,11.905698482725176
3.3575,11.818311809454805,13.208491493741857,37.2102264298025,11.675377466738196,11.832020677964094,11.916362779734905
3.4425,11.834093436949868,13.237794174897292,37.18905716955611,11.688302556167699,11.84758058944996,11.931322385544572
3.5275,11.86176657876086,13.295218020009802,37.19587152255937,11.718061978158243,11.880305013333844,11.96433524747096
3.6125000000000003,11.868447961101229,13.284379288367465,37.805682946752505,11.723434078188411,11.885970358420332,11.970675530232686
3.6975000000000002,11.891051692852821,13.339084472568189,37.550890488872994,11.743769078060762,11.908957591545922,11.99425231848624
3.7824999999999998,11.913246160926343,13.367565319948557,38.15053899718278,11.76744189508231,11.934353281707152,12.020128285513074
3.8674999999999997,11.918285790032554,13.372188106803403,37.308627462060315,11.77371262103036,11.94184292727318,12.027021787964827
3.9524999999999997,11.945352025664526,13.420871325390532,38.34827883532607,11.800362964962352,11.970189142156801,12.055628898917226
4.0375,11.961731459210522,13.44680495731068,38.01171041616496,11.815688846080974,11.987367961911298,12.07316666114472
4.1225000000000005,11.9757209042865,13.471557527308306,37.423527373295464,11.827243012879824,12.000890300649536,12.086187820739998
